BillableAccount	CTPSubRefId	CTPOfferId	TargetCTPOfferId
1990464126	4	19DB0677-31B9-42B4-A3DA-03701F582B04	a
2103363812	10	79DB1473-6D8A-45AB-98A5-05A17A661833	a
3225027782	2	79DB1473-6D8A-45AB-98A5-05A17A661833	a
2298947760	2	48156F43-FDDE-414B-AF1E-0986AEA3E606	a
2081217998	6	313044A6-707F-4C09-BE38-0CC6EB757F1F	a
4199875287	1	ACFFCF83-E5A3-47D9-A11A-0EF3270D5C9D	a
4229312287	4	ACFFCF83-E5A3-47D9-A11A-0EF3270D5C9D	a
4146115297	5	60D413BE-A710-4213-B36A-0F549CFFE050	a
1795778112	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
1795778128	10	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
1795906340	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
1880641820	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
2011841600	5	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
2865603318	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
4198210145	3	5F33A2C3-B7D7-4F34-BC56-1251AF635FAD	a
5007427359	10	029F2249-D288-4FE0-BFEC-18ED9468C7DE	a
2814275252	5	05490E5A-0674-49AB-A1DB-1F8638F27897	a
4018626605	9	767F7FCF-1FAD-41B8-B7C0-214992631868	a
2326336078	1	B10B429A-5430-42E5-B3A9-22789F6F624E	a
2454209638	2	B10B429A-5430-42E5-B3A9-22789F6F624E	a
2458947678	3	B10B429A-5430-42E5-B3A9-22789F6F624E	a
2639297458	4	B10B429A-5430-42E5-B3A9-22789F6F624E	a
2645059200	3	B10B429A-5430-42E5-B3A9-22789F6F624E	a
2789442084	5	B10B429A-5430-42E5-B3A9-22789F6F624E	a
4079168681	6	B10B429A-5430-42E5-B3A9-22789F6F624E	a
4176832291	2	B10B429A-5430-42E5-B3A9-22789F6F624E	a
4344128149	5	B10B429A-5430-42E5-B3A9-22789F6F624E	a
3264451960	7	BB236717-45AE-4A36-8949-24DB6612D900	a
3318976756	7	BB236717-45AE-4A36-8949-24DB6612D900	a
2299842062	3	AC8FC641-01CC-4067-A011-2613BF96725F	a
2299970708	5	AC8FC641-01CC-4067-A011-2613BF96725F	a
2300355344	3	AC8FC641-01CC-4067-A011-2613BF96725F	a
2301504922	2	AC8FC641-01CC-4067-A011-2613BF96725F	a
2302016946	2	AC8FC641-01CC-4067-A011-2613BF96725F	a
2303043350	4	AC8FC641-01CC-4067-A011-2613BF96725F	a
2303811144	4	AC8FC641-01CC-4067-A011-2613BF96725F	a
3044032594	4	AC8FC641-01CC-4067-A011-2613BF96725F	a
753090990	6	BDB62998-A651-4673-992C-28E432CB9B6F	a
1960770092	3	2585477A-3B0C-46B2-820E-2A58FC7C1CEF	a
1992899358	3	2585477A-3B0C-46B2-820E-2A58FC7C1CEF	a
1898689488	1	613D1563-090A-43FD-815C-35EEBE64D60A	a
