CurrentMapping,CurrentCtpOfferId,OldMapping,OldCtpOfferId
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^IL^1^Month^Direct^edu.microsoft.com_edu^Global,6e503aba-f2c1-43a0-88ad-d556ca697ccf,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^IL^1^Month^Direct^^Global,a03dcc39-2a6d-4f13-9abd-ab74da21827f
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^VE^1^Month^Direct^edu.microsoft.com_edu^Global,b791c513-3b9b-4276-9753-02b9525945dc,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^VE^1^Month^Direct^^Global,b3d44d86-a1dc-4bec-899f-e996320f1b52
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^EUR^RO^1^Month^Direct^edu.microsoft.com_edu^Global,ed844d53-abb2-4204-a171-49d8b4dbf857,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^EUR^RO^1^Month^Direct^^Global,de613bfe-1b6b-4ca7-a740-56d9c7bd6256
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^RW^1^Month^Direct^edu.microsoft.com_edu^Global,d822002d-37c0-4c04-ae3e-f31aef0d0d97,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^RW^1^Month^Direct^^Global,dd089034-0d4e-4b5f-b6b3-441d4e049494
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^INR^IN^1^Month^Direct^edu.microsoft.com_edu^Local,ab071fed-2daf-4ac2-bdae-b04a64685462,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^INR^IN^1^Month^Direct^^Local,c75ce217-88cb-4702-b2f0-e881d4c18447
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^ZAR^ZA^1^Month^Direct^edu.microsoft.com_edu^Global,12acc12e-0c6e-4229-aea7-2ea779061ac0,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^ZAR^ZA^1^Month^Direct^^Global,11e9a794-7e47-4c9a-ba73-8e85a8f1ec43
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^JM^1^Month^Direct^edu.microsoft.com_edu^Global,14355543-e55d-4aeb-972f-73eda33d4ed0,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^JM^1^Month^Direct^^Global,d8c3e45a-3fca-4d74-9543-a69771170506
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^CI^1^Month^Direct^edu.microsoft.com_edu^Global,91cb688d-123d-4d23-9b6e-26bec1c31d40,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^CI^1^Month^Direct^^Global,87044c1e-67c6-4a4c-8dbb-cd64e1ac282d
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^KW^1^Month^Direct^edu.microsoft.com_edu^Global,bdfb61ac-feae-4162-8c98-f03cef2a241b,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^KW^1^Month^Direct^^Global,fb4623c9-272f-4860-971c-5b6f5f25fcf8
63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^PS^1^Month^Direct^edu.microsoft.com_edu^Global,baa5bde5-b325-46a8-b92b-f68157b8ce09,63620d7f-fb19-4293-a6c9-5efe3df43333^Monthly^USD^PS^1^Month^Direct^^Global,1738d186-2718-4121-9916-60e0d4b3de7b
